state	delay
NJ	12.339127988268595
VT	10.135448733128108
NH	8.849320882852291
OK	7.428494371482176
IA	7.281128551960834
NE	6.9748238977302375
KS	6.9437540348612
SC	6.723544211706932
AR	6.606741935483871
ME	6.443677485680717
SD	6.248730527584129
CT	6.238881225324644
AL	6.012414527519336
OH	5.609747863698702
NY	5.535637165595935
WV	5.476392572944297
RI	5.404746540474654
VA	5.394238108738795
MD	5.141278712567137
ND	5.075672205976749
CA	4.9951239920176755
IL	4.904518673856601
MS	4.811064380459398
IN	4.719221183031858
PR	4.532593569178935
VI	4.526464822478763
WI	4.4559115492572055
MO	4.447381830961167
NM	4.365439006394491
FL	4.293082262898494
PA	4.080230201966516
KY	4.075234814689329
TN	3.9957128147524106
TX	3.8741314268799267
CO	3.8161872143449953
LA	3.7169523089009804
MA	3.5365226388136177
ID	3.3155662220237763
HI	3.104952224853883
WY	3.08477508650519
GA	2.545849564373226
OR	2.224786532559482
NC	1.9154802327197633
NV	1.5475549362607566
MI	1.5075758727071018
MT	1.3378813155386082
WA	0.09875470861954354
UT	-0.044248183943462645
AZ	-0.19705455096820265
AK	-0.46934595845413196
MN	-0.5293655104208043
